id,algorithm,application,execution_time,cpu_usage,memory_usage,power_usage,timeout,timestamp,packets_sent,packets_received,packets_failed,packet_loss_rate,latency_per_test,avg_throughput_kbps,packet_count_requested
961,Kyber512,Video Streaming,1.100658540999575,5.5,3.46875,Not Available,15,2025-03-28 15:45:21,20,20,0,0.0,0.0629579953965731,13.628204789450493,20
962,Kyber512,Video Streaming,1.0851562499956344,5.4,0.1875,5.5,15,2025-03-28 15:45:23,20,20,0,0.0,0.07300000288523734,27.645788337044266,20
963,Kyber512,Video Streaming,1.0636668329971144,4.1,0.015625,5.45,20,2025-03-28 15:45:25,20,20,0,0.0,0.0620420032646507,42.30648037901364,20
964,Kyber512,Video Streaming,1.079003749997355,5.4,0.015625,5.0,20,2025-03-28 15:45:27,20,20,0,0.0,0.07554199692094699,55.60685030070292,20
965,Kyber512,Video Streaming,1.0849725830048556,4.3,0.3125,5.1,30,2025-03-28 15:45:30,20,20,0,0.0,0.07158399967011064,69.12617072063318,20
966,Kyber512,Video Streaming,1.0906998749997001,5.5,0.03125,4.94,30,2025-03-28 15:45:32,20,20,0,0.0,0.07329099753405899,82.51582498808368,20
967,Kyber512,Video Streaming,1.130320791999111,9.3,0.125,5.03333333333333,15,2025-03-28 15:45:34,50,50,0,0.0,0.05691600381396711,112.79983603106213,50
968,Kyber512,Video Streaming,1.130183916000533,9.3,0.015625,5.64285714285714,15,2025-03-28 15:45:36,50,50,0,0.0,0.05775000317953527,145.99393750346223,50
969,Kyber512,Video Streaming,1.1335315000033006,9.2,0.046875,6.1,20,2025-03-28 15:45:38,50,50,0,0.0,0.056832999689504504,178.64523394313292,50
970,Kyber512,Video Streaming,1.138936167000793,9.3,0.03125,6.44444444444444,20,2025-03-28 15:45:40,50,50,0,0.0,0.05720800254493952,210.72295968263242,50
971,Kyber512,Video Streaming,1.1310236249992158,9.4,0.0,6.73,30,2025-03-28 15:45:43,50,50,0,0.0,0.05683400377165526,245.35296510733133,50
972,Kyber512,Video Streaming,1.1104875000019092,7.5,0.015625,6.97272727272727,30,2025-03-28 15:45:45,50,50,0,0.0,0.05775000317953527,283.65920372760473,50
973,Kyber512,Video Streaming,1.2158233750014915,14.3,0.046875,7.01666666666667,15,2025-03-28 15:45:47,100,100,0,0.0,0.05929199687670916,320.770276356565,100
974,Kyber512,Video Streaming,1.2089328750007553,14.2,0.015625,7.57692307692308,15,2025-03-28 15:45:49,100,100,0,0.0,0.05662500188918784,384.6367400669036,100
975,Kyber512,Video Streaming,1.2004410829977132,14.5,0.0,8.05,20,2025-03-28 15:45:52,100,100,0,0.0,0.056208999012596905,449.8346546517091,100
976,Kyber512,Video Streaming,1.2054899590002606,14.6,0.765625,8.48,20,2025-03-28 15:45:54,100,100,0,0.0,0.058833000366576016,510.16600794421635,100
977,Kyber512,Video Streaming,1.2122479999961797,14.3,0.0,8.8625,30,2025-03-28 15:45:56,100,100,0,0.0,0.05645799683406949,569.1904626793977,100
978,Kyber512,Video Streaming,1.1964799999987008,14.6,0.0,9.18235294117647,30,2025-03-28 15:45:58,100,100,0,0.0,0.05679099558619782,639.3755014716758,100
979,Kyber512,Video Streaming,1.3832014169965987,22.9,0.375,9.48333333333333,15,2025-03-28 15:46:01,200,200,0,0.0,0.05854100163560361,661.5088654165613,200
980,Kyber512,Video Streaming,1.3706686250006896,23.6,0.015625,10.1894736842105,15,2025-03-28 15:46:03,200,200,0,0.0,0.05929199687670916,776.9930532986879,200
981,Kyber512,Video Streaming,1.3650725839979714,23.3,0.3125,10.86,20,2025-03-28 15:46:06,200,200,0,0.0,0.07058300252538174,890.0625609530266,200
982,Kyber512,Video Streaming,1.3626607499973034,23.6,0.078125,11.452380952381,20,2025-03-28 15:46:08,200,200,0,0.0,0.06145799852674827,1001.7166781993986,200
983,Kyber512,Video Streaming,1.3649228750000475,23.6,0.0,12.0045454545455,30,2025-03-28 15:46:10,200,200,0,0.0,0.05791700095869601,1109.9528242575225,200
984,Kyber512,Video Streaming,1.3700247909946484,23.4,0.0,12.5086956521739,30,2025-03-28 15:46:13,200,200,0,0.0,0.05766600224887952,1215.3064754333368,200
985,Kyber512,File Transfer,3.1285736249992624,2.2,0.0,12.9625,15,2025-03-28 15:46:17,20,20,0,0.0,0.11775000166380778,4.7945171819325605,20
986,Kyber512,File Transfer,3.1124640830021235,2.3,0.453125,12.532,15,2025-03-28 15:46:21,20,20,0,0.0,0.09983299969462678,9.638665443189158,20
987,Kyber512,File Transfer,3.112025041002198,2.3,0.015625,12.1384615384615,20,2025-03-28 15:46:25,20,20,0,0.0,0.11641700257314369,14.460037887583377,20
988,Kyber512,File Transfer,3.158703000000969,2.1,0.328125,11.7740740740741,20,2025-03-28 15:46:30,20,20,0,0.0,0.07295799878193066,18.99513819437332,20
989,Kyber512,File Transfer,3.1139218749958673,2.3,0.0,11.4285714285714,30,2025-03-28 15:46:34,20,20,0,0.0,0.1340000017080456,24.08538268163826,20
990,Kyber512,File Transfer,3.1115897089985083,2.2,0.0,11.1137931034483,30,2025-03-28 15:46:38,20,20,0,0.0,0.09962500189431012,28.924121885262075,20
991,Kyber512,File Transfer,5.1713138749983045,2.6,0.0,10.8166666666667,15,2025-03-28 15:46:44,50,50,0,0.0,0.10012499842559919,24.65524295796913,50
992,Kyber512,File Transfer,5.183716667001136,2.8,0.046875,10.5516129032258,15,2025-03-28 15:46:50,50,50,0,0.0,0.12350000179139897,31.83044340566846,50
993,Kyber512,File Transfer,5.172026291002112,3.0,0.046875,10.309375,20,2025-03-28 15:46:57,50,50,0,0.0,0.11575000098673627,39.15293322315351,50
994,Kyber512,File Transfer,5.188898082997184,2.4,0.03125,10.0878787878788,20,2025-03-28 15:47:03,50,50,0,0.0,0.11995900422334671,46.25259470530445,50
995,Dilithium2,Video Streaming,1.5728331250002157,4.3,4.046875,9.86176470588235,60,2025-03-29 21:15:01,25,25,0,0.0,0.11074999974880484,37.56408121808339,25
996,Dilithium2,File Transfer,3.1776934999998048,2.8,0.15625,4.3,60,2025-03-29 21:15:04,25,25,0,0.0,0.2320829999007401,18.592740693840874,25
997,Dilithium2,VoIP,3.7775641250000263,3.7,0.25,3.55,30,2025-03-29 21:15:08,25,25,0,0.0,0.30220799999369774,15.640245749633593,25
998,Dilithium2,Web Browsing,4.272020832999715,6.8,0.09375,3.6,60,2025-03-29 21:15:12,100,100,0,0.0,0.12929099966640933,55.3199842038354,100
999,SPHINCS+-128s,Video Streaming,14.305054375000054,90.1,11.890625,4.4,60,2025-03-29 21:15:31,25,25,0,0.0,499.7415419998106,13.40762991682087,25
1000,SPHINCS+-128s,File Transfer,15.999927833000129,80.7,0.859375,4.4,60,2025-03-29 21:15:48,25,25,0,0.0,502.44216700002653,11.98735875573236,25
1001,SPHINCS+-128s,VoIP,14.344086915999924,91.2,71.515625,4.4,30,2025-03-29 21:16:02,25,25,0,0.0,505.2464579998741,13.371145624198824,25
1002,Kyber512,Video Streaming,1.1171302920001835,6.4,3.59375,4.4,60,2025-03-29 21:16:55,25,25,0,0.0,0.07979100018928875,16.784076248106,25
1003,Kyber512,File Transfer,3.1157906660000663,2.5,0.1875,4.4,60,2025-03-29 21:16:58,25,25,0,0.0,0.1933340004143247,6.017734183686524,25
1004,Kyber512,VoIP,3.723362791999989,3.0,18.890625,4.4,30,2025-03-29 21:17:02,25,25,0,0.0,0.1946249999491556,5.035770363362447,25
1005,Kyber512,Web Browsing,4.783224124999833,5.4,0.171875,4.4,60,2025-03-29 21:17:07,100,100,0,0.0,0.16341600030500558,15.679800494400336,100
1006,SPHINCS+-128s,Web Browsing,26.98979637499997,95.4,17.0625,4.4,30,2025-03-29 21:18:22,50,50,0,0.0,503.7353749999056,32.40460720222833,50
