id,timestamp,algorithm,application,execution_time (s),cpu_usage (%),memory_usage,power_usage (%),timeout (s),packets_sent,packets_received,packets_failed,packet_loss_rate (%),latency_per_test,avg_throughput_kbps,packet_count_requested,power_recorded,memory_recorded,successful_packets (%),cpu_efficiency,throughput_efficiency_kbps,latency_to_throughput_ratio,optimal_algorithm
1160,30/03/2025 21:51,Kyber512,Video Streaming,5.478742689,12,0.03125,11.2,10,20,20,0,0,2.720521,2.737854441,20,FALSE,TRUE,100,0.244451289,0.499723129,0.993668969,
1161,30/03/2025 21:52,Kyber512,Video Streaming,8.058522443,8.6,0,12,10,20,20,0,0,2.799356087,3.722766824,20,TRUE,FALSE,100,0.310230569,0.461966428,0.751955795,
1162,30/03/2025 21:52,Kyber512,Video Streaming,11.14727467,3.4,0.046875,10.3,10,14,14,0,0,2.799356087,3.633175032,20,TRUE,TRUE,70,0.35273544,0.325924958,0.770498548,
1163,30/03/2025 21:52,Kyber512,Video Streaming,7.711928211,9.6,0,8,30,20,20,0,0,5.795313,7.196643755,20,TRUE,FALSE,100,0.899580469,0.933183448,0.805279961,
1164,30/03/2025 21:52,Kyber512,Video Streaming,4.599263982,13.3,0,8.4,30,20,20,0,0,2.181301999,15.32853958,20,TRUE,FALSE,100,1.82482614,3.332824478,0.142303315,
1165,30/03/2025 21:52,Kyber512,Video Streaming,9.909617553,5.1,0,9.38,30,20,20,0,0,2.548073,8.627981811,20,TRUE,FALSE,100,0.919827485,0.870667487,0.295326654,
1166,30/03/2025 21:53,Kyber512,Video Streaming,14.68945381,3.8,0,8.666666667,60,20,20,0,0,2.067603999,6.841643078,20,TRUE,FALSE,100,0.789420355,0.46575204,0.302208691,
1167,30/03/2025 21:53,Kyber512,Video Streaming,16.18445115,2.9,0,7.971428571,60,20,20,0,0,2.139896,7.13647926,20,TRUE,FALSE,100,0.895257255,0.440946634,0.29985318,
1168,30/03/2025 21:53,Kyber512,Video Streaming,12.17947676,4.7,0,7.3375,60,20,20,0,0,2.799356087,10.71474601,20,TRUE,FALSE,100,1.460272029,0.879737793,0.261262011,
1169,30/03/2025 21:53,Kyber512,Video Streaming,11.2486859,14.9,0.30078125,7.044444444,10,47,47,0,0,3.065,14.73505452,50,TRUE,TRUE,94,2.091726982,1.309935636,0.208007374,
1170,30/03/2025 21:53,Kyber512,Video Streaming,11.18251349,2.3,0,7.83,10,10,10,0,0,2.211562,15.49293906,50,TRUE,FALSE,20,1.978663992,1.385461245,0.142746447,
1171,30/03/2025 21:54,Kyber512,Video Streaming,11.21480639,7,0,7.327272727,10,28,28,0,0,3.590728999,17.32085186,50,TRUE,FALSE,56,2.363887971,1.544462852,0.207306721,
1172,30/03/2025 21:54,Kyber512,Video Streaming,21.18110015,7.3,0.25,7.3,30,50,50,0,0,2.235104,10.94135802,50,TRUE,TRUE,100,1.498816167,0.51656231,0.204280309,
